"","title","description","contributor","author","publisher"
"1530","HUNTING EVE","In the second book of a trilogy, the forensic sculptor Eve Duncan struggles to outwit a kidnapper in the Colorado wilderness.","by Iris Johansen","Iris Johansen","St. Martin's"
"1531","THE EYE OF GOD","As the end of the world looms, Cmdr. Gray Pierce and Sigma Force race to unravel a mystery tied to the fall of the Roman Empire.","by James Rollins","James Rollins","Morrow/HarperCollins"
"1532","AFFLICTION","The vampire hunter Anita Blake encounters a dangerous new breed of zombies. ","by Laurell K. Hamilton","Laurell K Hamilton","Berkley"
"1533","SISTERLAND","Twin sisters share psychic powers. One suppresses her ability while trying to fit in as a suburban housewife; the other cultivates her unusual gifts and becomes a professional medium.","by Curtis Sittenfeld","Curtis Sittenfeld","Random House"
"1534","THE LAST ORIGINAL WIFE","An Atlanta woman returns to her hometown, Charleston, to reassess her life. ","by Dorothea Benton Frank","Dorothea Benton Frank","Morrow/HarperCollins"
"1535","UNSEEN","Will Trent of the Georgia Bureau of Investigation, working undercover as a motorcycle-riding ex-con in Macon, finds himself working on the same case as Sara Linton, the woman he loves. ","by Karin Slaughter","Karin Slaughter","Delacorte"
"1536","MACRIEVE","The 13th installment of the Immortals After Dark paranormal series probes the deepest secrets of the Clan MacRieve.","by Kresley Cole","Kresley Cole","Gallery"
"1537","REVENGE WEARS PRADA","Andrea Sachs is now running a bridal magazine.","by Lauren Weisberger","Lauren Weisberger","Simon & Schuster"
"1538","LIFE AFTER LIFE","Atkinson’s heroine, born in 1910, keeps dying and dying again, as she experiences the alternate courses her destiny might have taken.","by Kate Atkinson","Kate Atkinson","Little, Brown"
"1539","THE 9TH GIRL","Two Minneapolis detectives try to discover the identity of the city’s ninth unidentified female murder victim of the year. ","by Tami Hoag","Tami Hoag","Dutton"
"1540","TRANSATLANTIC","The lives of real and fictional characters (Frederick Douglass, George Mitchell, an Irish maid) are woven into historical events in Dublin, Newfoundland and New York. ","by Colum McCann","Colum McCann","Random House"
"1541","TELL ME","A woman convicted of murdering her daughter is about to be set free in Savannah, Ga., and the reporter Nikki Gillette is determined to get to the truth of her story.","by Lisa Jackson","Lisa Jackson","Kensington"
"1542","THE KING'S DECEPTION","The ex-government operative Cotton Malone stumbles upon a C.I.A. plan to call into question the legitimacy of Elizabeth I’s reign and her conquest of Ireland.","by Steve Berry","Steve Berry","Ballantine"
"1543","THE HIT","The government hit man Will Robie uncovers a serious threat as he tries to stop Jessica Reel, a fellow assassin who has gone rogue.","by David Baldacci","David Baldacci","Grand Central"
"1544","THE EYE OF MOLOCH","Continuing the fight to save America begun in “The Overton Window.”","by Glenn Beck","Glenn Beck","Threshold Editions/Mercury Radio Arts"
"1545","SWEET SALT AIR","Two women, good friends who have been estranged, come together for a summer on an island off the coast of Maine.","by Barbara Delinsky","Barbara Delinsky","St. Martin's"
"1546","THE KILL ROOM","The quadriplegic forensics expert Lincoln Rhyme investigates the political assassination of a United States citizen.","by Jeffery Deaver","Jeffery Deaver","Grand Central"
"1547","LADIES' NIGHT","After separating from her husband, a lifestyle blogger moves in with her mother and attends divorce counseling sessions.","by Mary Kay Andrews","Mary Kay Andrews","St. Martin's"
"1548","ZERO HOUR","In the 11th Numa Files novel, Kurt Austin and the rest of the Numa team race to find machines that can cause deadly earthquakes.","by Clive Cussler and Graham Brown","Clive Cussler and Graham Brown","Putnam"
"1549","DEEPLY ODD","Odd Thomas, who can communicate with the dead, must forestall a crime by discovering the people who have been targeted by a killer.","by Dean Koontz","Dean Koontz","Bantam"
"1550","SILKEN PREY","Lucas Davenport is drawn into the investigation of a Minnesota political scandal and the disappearance of an operative.","by John Sandford","John Sandford","Putnam"
"1551","12TH OF NEVER","One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"1552","DEAD EVER AFTER","When a shocking murder rocks the Louisiana town of Bon Temps, the telepathic waitress Sookie Stackhouse learns that what passes for the truth is only a convenient lie.","by Charlaine Harris","Charlaine Harris","Ace"
"1553","A SERPENT'S TOOTH","The search for a boy’s mother leads to a heavily armed polygamist group; a Walt Longmire mystery.","by Craig Johnson","Craig Johnson","Viking"
"1554","RED SPARROW","A Russian intelligence officer trained in the art of seduction becomes entangled with a young C.I.A. officer.","by Jason Matthews","Jason Matthews","Scribner"
"1555","A CHAIN OF THUNDER","A novel about the siege of Vicksburg in 1863; the second book in a trilogy about the Civil War.","by Jeff Shaara","Jeff Shaara","Ballantine"
"1556","THE YONAHLOSSEE RIDING CAMP FOR GIRLS","","by Anton DiSclafani","Anton DiSclafani","Riverhead"
"1557","NOS4A2","In a creepy battle between real and imaginary worlds, a brave biker chick is pitted against a ghoulish villain who lures children to a place where it is always Christmas. ","by Joe Hill","Joe Hill","Morrow/HarperCollins"
"1558","A DELICATE TRUTH","A young man investigates a private-public antiterrorist operation, supposedly a great success but actually a disaster. ","by John le Carre","John le Carré","Viking"
"1559","BEST KEPT SECRET","In Volume 3 of the Clifton Chronicles, the focus shifts to a new generation — Sebastian, the son of Harry and Emma Clifton. ","by Jeffrey Archer","Jeffrey Archer","St. Martin's"
"1560","PARIS","A centuries-spanning historical novel that weaves together the fates of a handful of families who come of age, seek their fortunes and fall in and out of love in the City of Light.","by Edward Rutherfurd","Edward Rutherfurd","Doubleday"
"1561","THE REDEEMER","Harry Hole, a maverick detective in the Oslo Police Department, travels to the former Yugoslavia to investigate a Christmastime murder on an Oslo street. ","by Jo Nesbø","Jo Nesbø","Knopf"
"1562","A STEP OF FAITH","In the fourth book of the “Walk” series, Alan faces new challenges on his walk to Key West.","by Richard Paul Evans","Richard Paul Evans","Simon & Schuster"
"1563","LOOKING FOR ME","","by Beth Hoffman","Beth Hoffman","Pamela Dorman"
