"","title","description","contributor","author","publisher"
"1","READY PLAYER TWO","In a sequel to “Ready Player One,” Wade Watts discovers a technological advancement and goes on a new quest.","by Ernest Cline","Ernest Cline","Ballantine"
"2","A TIME FOR MERCY","The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.","by John Grisham","John Grisham","Doubleday"
"3","DEADLY CROSS","The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.","by James Patterson","James Patterson","Little, Brown"
"4","THE RETURN","A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.","by Nicholas Sparks","Nicholas Sparks","Grand Central"
"5","THE VANISHING HALF","The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.","by Brit Bennett","Brit Bennett","Riverhead"
"6","DAYLIGHT","The F.B.I. agent Atlee Pine’s search for her twin sister overlaps with a military investigator’s hunt for someone involved in a global conspiracy.","by David Baldacci","David Baldacci","Grand Central"
"7","WHERE THE CRAWDADS SING","In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.","by Delia Owens","Delia Owens","Putnam"
"8","THE LAW OF INNOCENCE","The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.","by Michael Connelly","Michael Connelly","Little, Brown"
"9","THE AWAKENING","The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.","by Nora Roberts","Nora Roberts","St. Martin's"
"10","THE SENTINEL","Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.","by Lee Child and Andrew Child","Lee Child and Andrew Child","Delacorte"
"11","FORTUNE AND GLORY","The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.","by Janet Evanovich","Janet Evanovich","Atria"
"12","ANXIOUS PEOPLE","A failed bank robber holds a group of strangers hostage at an apartment open house.","by Fredrik Backman","Fredrik Backman","Atria"
"13","THE MIDNIGHT LIBRARY","Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.","by Matt Haig","Matt Haig","Viking"
"14","HAMNET","An imagined exploration of how the death of an 11-year-old boy to the Black Plague in 1596 might have affected a famous playwright and his wife.","by Maggie O'Farrell","Maggie O'Farrell","Knopf"
"15","THE EVENING AND THE MORNING","In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.","by Ken Follett","Ken Follett","Viking"
"16","RHYTHM OF WAR","The fourth book in the Stormlight Archive series. Technological discoveries and an ensuing arms race change how a war is fought.","by Brandon Sanderson","Brandon Sanderson","Tor"
"17","THE INVISIBLE LIFE OF ADDIE LARUE","A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.","by V.E. Schwab","V E Schwab","Tor/Forge"
"18","THE SEARCHER","After a divorce, a former Chicago police officer resettles in an Irish village where a boy goes missing.","by Tana French","Tana French","Viking"
"19","ALL THAT GLITTERS","Just as Coco is about to graduate from Columbia, tragic events in her family send her on a journey of self-discovery.","by Danielle Steel","Danielle Steel","Delacorte"
"20","TOM CLANCY: SHADOW OF THE DRAGON","A missing scientist, strange noises under the Arctic ice and a mole who infiltrated American intelligence bedevil President Jack Ryan.","by Marc Cameron","Marc Cameron","Putnam"
"21","PIECE OF MY HEART","As their wedding approaches, a television producer and her fiancée must search for his missing 7-year-old nephew.","by Mary Higgins Clark and Alafair Burke","Mary Higgins Clark and Alafair Burke","Simon & Schuster"
"22","I WOULD LEAVE ME IF I COULD","A debut collection of poems by the Grammy Award-nominated musician.","by Halsey","Halsey","Simon & Schuster"
"23","MARAUDER","The 15th book in the Oregon Files series. A billionaire's dying wish bestows a paralyzing chemical to a terrorist group.","by Clive Cussler and Boyd Morrison","Clive Cussler and Boyd Morrison","Putnam"
"24","MOONFLOWER MURDERS","Cecily Trehearne goes missing from a Greek island hotel that is run by a former publisher after reading the mystery “Atticus Pünd Takes the Case.”","by Anthony Horowitz","Anthony Horowitz","Harper"
"25","THE BOOK OF TWO WAYS","After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.","by Jodi Picoult","Jodi Picoult","Ballantine"
"26","THREE WOMEN DISAPPEAR","Detective Sean Walsh must solve a case involving three missing women who had access to a home where a man was murdered.","by James Patterson and Shan Serafin","James Patterson and Shan Serafin","Little, Brown"
"27","THE WONDER BOY OF WHISTLE STOP","Bud Threadgoode returns to his hometown and sets off some life-changing events.","by Fannie Flagg","Fannie Flagg","Random House"
"28","WHITE IVY","Years after being sent to China as a punishment by her mother, Ivy Lin reconnects with her teenage crush but her past threatens to catch up to her.","by Susie Yang","Susie Yang","Simon & Schuster"
"29","LEAVE THE WORLD BEHIND","A family vacation in an isolated part of Long Island is thrown into confusion when the home’s owners return claiming New York City is having a blackout.","by Rumaan Alam","Rumaan Alam","Ecco"
"30","THE NOEL LETTERS","An editor of a publishing house inherits her father’s bookstore and receives letters from an anonymous source.","by Richard Paul Evans","Richard Paul Evans","Gallery"
"31","TRULY, MADLY, DEEPLY","An 18-year-old who wants to become a police officer falls in love with a young woman who has an aggressive form of cancer.","by Karen Kingsbury","Karen Kingsbury","Atria"
"32","TROUBLES IN PARADISE","The final installment of the trilogy that includes “Winter in Paradise” and “What Happens in Paradise.”","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"33","THE GUEST LIST","A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.","by Lucy Foley","Lucy Foley","Morrow"
"34","THE SILENCE","The severing of digital connections transforms a dinner gathering in Manhattan on Super Bowl Sunday in 2022.","by Don DeLillo","Don DeLillo","Scribner"
"35","THE LAST DRUID","The fourth book in the Fall of Shannara series.","by Terry Brooks","Terry Brooks","Del Rey"
"36","JINGLE ALL THE WAY","A December cruise in the Amazon fosters a potential change in priorities for a career-focused real-estate executive.","by Debbie Macomber","Debbie Macomber","Ballantine"
"37","INVISIBLE GIRL","An ex-schoolteacher accused of sexual misconduct lives near a family led by a child psychologist whose former patient goes missing.","by Lisa Jewell","Lisa Jewell","Atria"
"38","THE COAST-TO-COAST MURDERS","A detective and an F.B.I. agent are baffled by a cross-country killing spree.","by James Patterson and J.D. Barker","James Patterson and JD Barker","Little, Brown"
"39","MAGIC LESSONS","In a prequel to “Practical Magic,” Maria Owens invokes a curse that will haunt her family in Salem, Mass.","by Alice Hoffman","Alice Hoffman","Simon & Schuster"
"40","ONE BY ONE","An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.","by Ruth Ware","Ruth Ware","Gallery/Scout"
"41","VINCE FLYNN: TOTAL POWER","When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist.","by Kyle Mills","Kyle Mills","Emily Bestler/Atria"
"42","BATTLE GROUND","The 17th book in the Dresden Files series. Harry must save Chicago from destruction by the Last Titan.","by Jim Butcher","Jim Butcher","Ace"
"43","VIOLET BENT BACKWARDS OVER THE GRASS","A collection of poems by the singer and songwriter.","by Lana Del Rey","Lana Del Rey","Simon & Schuster"
"44","JACK","An interracial romance develops between a preacher’s daughter and a Presbyterian minister’s son.","by Marilynne Robinson","Marilynne Robinson","Farrar, Straus & Giroux"
"45","A DEADLY EDUCATION","While others expect a dark sorceress to cause damage, she has other plans.","by Naomi Novik","Naomi Novik","Del Rey"
"46","THE HARBINGER II","Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked.","by Jonathan Cahn","Jonathan Cahn","FrontLine"
"47","NEXT TO LAST STAND","The 16th book in the Longmire series. A million dollars in a shoebox and a piece of a painting might be clues to an art heist.","by Craig Johnson","Craig Johnson","Viking"
"48","TROUBLED BLOOD","The fifth book in the Cormoran Strike series. A decades-old cold case might be connected to a serial killer; by J.K. Rowling, writing pseudonymously.","by Robert Galbraith","Robert Galbraith","Mulholland"
"49","ALL THE DEVILS ARE HERE","The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris.","by Louise Penny","Louise Penny","Minotaur"
"50","TO SLEEP IN A SEA OF STARS","Kira Navárez might be the only one who can save the Earth and its colonies from being destroyed.","by Christopher Paolini","Christopher Paolini","Tor"
"51","SHADOWS IN DEATH","The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.","by J.D. Robb","JD Robb","St. Martin's"
"52","PIRANESI","Another world is revealed as a man called the Other asks Piranesi for help with research into a Great and Secret Knowledge.","by Susanna Clarke","Susanna Clarke","Bloomsbury"
"53","TRANSCENDENT KINGDOM","A Ph.D. candidate in neuroscience looks to the hard sciences and her childhood faith to potentially help her grieving Ghanaian immigrant family.","by Yaa Gyasi","Yaa Gyasi","Knopf"
"54","FIFTY WORDS FOR RAIN","In 1940s Japan, an 8-year-old child of a married Japanese aristocrat and her African-American lover searches for her place in the world.","by Asha Lemmie","Asha Lemmie","Dutton"
"55","THE LYING LIFE OF ADULTS","In this coming-of-age story, Giovanna seeks her true reflection in two kindred cities.","by Elena Ferrante","Elena Ferrante","Europa Editions"
"56","SQUEEZE ME","A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.","by Carl Hiaasen","Carl Hiaasen","Knopf"
"57","THICK AS THIEVES","Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.","by Sandra Brown","Sandra Brown","Grand Central"
"58","AMERICAN DIRT","A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.","by Jeanine Cummins","Jeanine Cummins","Flatiron"
"59","THE DARKEST EVENING","The ninth book in the Vera Stanhope series. An abandoned toddler, a dead woman and a blizzard complicate the holidays in the Northumberland countryside.","by Ann Cleeves","Ann Cleeves","Minotaur"
"60","ROYAL","In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love.","by Danielle Steel","Danielle Steel","Delacorte"
"61","THRAWN ASCENDANCY: CHAOS RISING","In this Star Wars saga, a young military officer is sent to find the unseen enemies who attacked the Chiss capital.","by Timothy Zahn","Timothy Zahn","Del Rey"
"62","THE LAST STORY OF MINA LEE","Margot Lee pieces together consequential events in her mother's life from being a Korean War orphan to what brought about her suspicious death.","by Nancy Jooyoun Kim","Nancy Jooyoun Kim","Park Row"
"63","MEXICAN GOTHIC","In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.","by Silvia Moreno-Garcia","Silvia Moreno-Garcia","Del Rey"
"64","DARK SONG","The 34th book in the Carpathian series. Will the vampire who held Elisabeta captive get in the way of her bond with Ferro?","by Christine Feehan","Christine Feehan","Berkley"
"65","28 SUMMERS","A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"66","1ST CASE","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.","by James Patterson and Chris Tebbetts","James Patterson and Chris Tebbetts","Little, Brown"
"67","THE EXILES","Three young women are sent to the fledgling British penal colony of Australia in the 1840s.","by Christina Baker Kline","Christina Baker Kline","Custom House"
"68","THE SILENT PATIENT","Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.","by Alex Michaelides","Alex Michaelides","Celadon"
"69","THE ORDER","The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.","by Daniel Silva","Daniel Silva","Harper"
"70","NEAR DARK","The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.","by Brad Thor","Brad Thor","Emily Bestler/Atria"
"71","IF IT BLEEDS","Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”","by Stephen King","Stephen King","Scribner"
"72","THE JACKAL","In the Black Dagger Brotherhood world, Nyx searches for her sister in a lost prison camp and meets a man known as the Jackal.","by J.R. Ward","JR Ward","Gallery"
"73","CAMINO WINDS","The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.","by John Grisham","John Grisham","Doubleday"
"74","THE LIONS OF FIFTH AVENUE","When rarities disappear, a curator at the New York Public Library, who grapples with her grandmother’s legacy, uncovers new truths about her family heritage.","by Fiona Davis","Fiona Davis","Dutton"
"75","A PRIVATE CATHEDRAL","The 23rd book in the Dave Robicheaux series. Rival Louisiana crime families and a time-traveling superhuman assassin bring up Robicheaux’s personal demons.","by James Lee Burke","James Lee Burke","Simon & Schuster"
"76","CHOPPY WATER","The 54th book in the Stone Barrington series. Things get rough for Stone as he goes after criminals in New York City and Key West.","by Stuart Woods","Stuart Woods","Putnam"
"77","LUSTER","A young Brooklyn artist is invited to live with a New Jersey couple who have an open marriage and an adopted daughter.","by Raven Leilani","Raven Leilani","Farrar, Straus & Giroux"
"78","SUCKER PUNCH","The 27th book in the Anita Blake, Vampire Hunter series. The evidence that a wereleopard killed his uncle doesn’t add up.","by Laurell K. Hamilton","Laurell K Hamilton","Berkley"
"79","HARROW THE NINTH","The second book of the Locked Tomb trilogy. Harrowhark Nonagesimus must overcome her failing health to become an angel of undeath.","by Tamsyn Muir","Tamsyn Muir","Tor.com"
"80","THE SILENT WIFE","The 10th book in the Will Trent series. Investigations of two crimes force Trent to call on his girlfriend's expertise as a medical examiner.","by Karin Slaughter","Karin Slaughter","Morrow"
"81","THE DEATH OF VIVEK OJI","In southern Nigeria, an act of violence comes out of the facets of a relationship between cousins Vivek and Osita.","by Akwaeke Emezi","Akwaeke Emezi","Riverhead"
"82","DEADLOCK","The 24th book in the F.B.I. Thriller series. A young wife, a psychopath and three red boxes puzzle agents Savich and Sherlock.","by Catherine Coulter","Catherine Coulter","Gallery"
"83","THE END OF HER","The parents of colicky twin girls have other trouble delivered in the form of suspicions surrounding the husband’s first wife’s death.","by Shari Lapena","Shari Lapena","Pamela Dorman"
"84","SEX AND VANITY","A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.","by Kevin Kwan","Kevin Kwan","Doubleday"
"85","AXIOM'S END","Cora Sabino finds herself caught between her estranged whistle-blower father and the extraterrestrials who have been living here for decades.","by Lindsay Ellis","Lindsay Ellis","St. Martin's"
"86","PEACE TALKS","The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.","by Jim Butcher","Jim Butcher","Ace"
"87","A WALK ALONG THE BEACH","After dealing with loss and setbacks, two sisters take risks on dreams and love.","by Debbie Macomber","Debbie Macomber","Ballantine"
"88","THE PULL OF THE STARS","While war and the Great Flu ravages 1918 Dublin, three women help expectant mothers who have been quarantined in a hospital.","by Emma Donoghue","Emma Donoghue","Little, Brown"
"89","BIG SUMMER","Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.","by Jennifer Weiner","Jennifer Weiner","Atria"
"90","UTOPIA AVENUE","The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.","by David Mitchell","David Mitchell","Random House"
"91","THE SUMMER HOUSE","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.","by James Patterson and Brendan DuBois","James Patterson and Brendan DuBois","Little, Brown"
"92","A BEAUTIFULLY FOOLISH ENDEAVOR","Mysterious books hint at what caused the untimely demise of April May and the sudden disappearance of robots known as the Carls.","by Hank Green","Hank Green","Dutton"
"93","FAIR WARNING","The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.","by Michael Connelly","Michael Connelly","Little, Brown"
"94","MEMOIRS AND MISINFORMATION","A character named Jim Carrey navigates stardom and its excesses in a satire that borrows heavily from the life of the celebrity Jim Carrey.","by Jim Carrey and Dana Vachon","Jim Carrey and Dana Vachon","Knopf"
"95","HOME BEFORE DARK","When Maggie Holt inherits the Vermont estate that was the setting of her father’s horror memoir she is confronted by some of the people and relics he chronicled.","by Riley Sager","Riley Sager","Dutton"
"96","FRIENDS AND STRANGERS","Complications ensue when a New York journalist downshifts to become a mom in a small town and hires a senior at the local women’s college to babysit.","by J. Courtney Sullivan","J Courtney Sullivan","Knopf"
"97","DADDY'S GIRLS","After a California rancher‘s sudden death, his three daughters discover things they did not know about their father.","by Danielle Steel","Danielle Steel","Delacorte"
"98","THE LAST FLIGHT","Claire Cook escapes from living with her quick-tempered husband and assumes another woman’s identity.","by Julie Clark","Julie Clark","Sourcebooks Landmark"
"99","DEACON KING KONG","In 1969, secrets in a South Brooklyn neighborhood are uncovered when a church deacon known as Sportcoat shoots a drug dealer in public.","by James McBride","James McBride","Riverhead"
"100","HIDEAWAY","A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.","by Nora Roberts","Nora Roberts","St. Martin's"
"101","DEATH IN HER HANDS","A woman determines to solve a mystery involving a handwritten note and a seemingly nonexistent dead body in the woods.","by Ottessa Moshfegh","Ottessa Moshfegh","Penguin Press"
"102","DEVOLUTION","In the aftermath of Mount Rainier erupting, Kate Holland’s newly discovered journals tell the tale of the creature known as Bigfoot.","by Max Brooks","Max Brooks","Del Rey"
"103","TOM CLANCY: FIRING POINT","When an old friend is killed during the bombing of a Barcelona cafe, Jack Ryan Jr. searches for those responsible.","by Mike Maden","Mike Maden","Putnam"
"104","WALK THE WIRE","The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.","by David Baldacci","David Baldacci","Grand Central"
"105","THE LIES THAT BIND","When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him.","by Emily Giffin","Emily Giffin","Ballantine"
"106","THE DAUGHTERS OF ERIETOWN","The story of four generations of an Ohio family brings to life the tribulations encountered and bonds formed by women in the 20th century.","by Connie Schultz","Connie Schultz","Random House"
"107","A BURNING","Jivan, PT Sir and Lovely seek to improve their circumstances within the complexity of contemporary Indian life.","by Megha Majumdar","Megha Majumdar","Knopf"
"108","ALL ADULTS HERE","A repressed memory triggers Astrid Strick to weigh the outcomes of her parenting of her now-grown children.","by Emma Straub","Emma Straub","Riverhead"
"109","SUCH A FUN AGE","Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.","by Kiley Reid","Kiley Reid","Putnam"
"110","THE 20TH VICTIM","The 20th book in the Women’s Murder Club series. Lindsay Boxer looks into the murders of disreputable persons in three separate cities.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"111","THE GIVER OF STARS","In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.","by Jojo Moyes","Jojo Moyes","Pamela Dorman/Viking"
"112","THE BOOK OF LONGINGS","A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.","by Sue Monk Kidd","Sue Monk Kidd","Viking"
"113","WRATH OF POSEIDON","The 12th book in the Sam and Remi Fargo Adventure series. A kingpin is released from prison and a final showdown takes place in Greece.","by Clive Cussler and Robin Burcell","Clive Cussler and Robin Burcell","Putnam"
"114","THE LAST TRIAL","An 85-year-old defense lawyer puts off his retirement to aid a Nobel Prize winner in Medicine, who is accused of insider trading, fraud and murder.","by Scott Turow","Scott Turow","Grand Central"
"115","RODHAM","An imaginative look at the life and career one woman might have had if she had not married Bill Clinton.","by Curtis Sittenfeld","Curtis Sittenfeld","Random House"
"116","ON OCEAN BOULEVARD","As her second wedding approaches, a woman returns to Charleston, S.C., where her family is dealing with changes.","by Mary Alice Monroe","Mary Alice Monroe","Gallery"
"117","HELLO, SUMMER","Conley Hawkins loses her big-city beat and takes over the gossip column of her family’s small-town newspaper.","by Mary Kay Andrews","Mary Kay Andrews","St. Martin's"
"118","THE BOOK OF LOST FRIENDS","The stories of three women struggling to get from Louisiana to Texas during Reconstruction are discovered by a first-year teacher living a century later.","by Lisa Wingate","Lisa Wingate","Ballantine"
"119","THE WEDDING DRESS","The triumphs and losses of one family over the last century are recounted as a symbolic piece of apparel gets handed down through the generations.","by Danielle Steel","Danielle Steel","Delacorte"
"120","THE HENNA ARTIST","In 1950s Jaipur, a young woman who escaped an abusive marriage and started a new life is confronted by her husband.","by Alka Joshi","Alka Joshi","MIRA"
"121","SHAKESPEARE FOR SQUIRRELS","When the Duke orders his death, Pocket of Dog Snogging escapes to the woods where he works to become the fairy king’s replacement fool.","by Christopher Moore","Christopher Moore","Morrow"
"122","MASKED PREY","The 30th book in the Prey series. Washington politicians ask Lucas Davenport to look into someone who is targeting their children.","by John Sandford","John Sandford","Putnam"
"123","SOMEONE LIKE YOU","After uncovering a secret, Maddie Baxter West breaks off from the life she has to find out what could have been.","by Karen Kingsbury","Karen Kingsbury","Atria"
"124","THE END OF OCTOBER","Henry Parsons, a microbiologist and epidemiologist, goes to Indonesia to check out a deadly virus that soon will affect the entire planet.","by Lawrence Wright","Lawrence Wright","Knopf"
"125","THE BOY FROM THE WOODS","When a girl goes missing, a private investigator’s feral childhood becomes an asset in the search.","by Harlan Coben","Harlan Coben","Grand Central"
"126","THE DUTCH HOUSE","A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.","by Ann Patchett","Ann Patchett","Harper"
"127","REDHEAD BY THE SIDE OF THE ROAD","Micah Mortimer’s orderly existence is thrown off kilter when his partner faces eviction and a teenager claims to be his son.","by Anne Tyler","Anne Tyler","Knopf"
"128","IN FIVE YEARS","A Manhattan lawyer finds herself confronting a vision she had when elements of it come to life on schedule.","by Rebecca Serle","Rebecca Serle","Atria"
"129","THE GLASS HOTEL","Years after an international Ponzi scheme falls apart, one of its victims investigates the disappearance of a woman from a container ship.","by Emily St. John Mandel","Emily St John Mandel","Knopf"
"130","THE MIRROR & THE LIGHT","The third book in the Wolf Hall trilogy. After Anne Boleyn’s execution, Thomas Cromwell’s enemies assemble.","by Hilary Mantel","Hilary Mantel","Holt"
"131","VALENTINE","A Texas town on the verge of an oil boom in 1976 becomes divided when a teenage girl is brutally attacked.","by Elizabeth Wetmore","Elizabeth Wetmore","Harper"
"132","SAVAGE SON","The third book in the Terminal List series. The Russian mafia targets a former Navy SEAL who is recovering from brain surgery.","by Jack Carr","Jack Carr","Emily Bestler/Atria"
"133","TEXAS OUTLAW","A Texas Ranger goes to a small town to investigate whether an accidental death was actually a murder.","by James Patterson and Andrew Bourelle","James Patterson and Andrew Bourelle","Little, Brown"
"134","CHOSEN ONES","A funeral reunites a group of teens who saved the world from an evil force a decade ago.","by Veronica Roth","Veronica Roth","John Joseph Adams/Houghton Mifflin Harcourt"
"135","THE SOUTHERN BOOK CLUB'S GUIDE TO SLAYING VAMPIRES","After being attacked by an elderly neighbor, Patricia Campbell suspects more trouble is at hand in the form of her attacker's handsome nephew.","by Grady Hendrix","Grady Hendrix","Quirk"
"136","THE NIGHT WATCHMAN","As a bill that may hurt the rights of Native Americans goes to Congress in 1953, domestic issues arise for plant workers near the Turtle Mountain Reservation in North Dakota.","by Louise Erdrich","Louise Erdrich","Harper"
"137","IT'S NOT ALL DOWNHILL FROM HERE","Loretha Curry, a 68-year-old woman who defies other people’s ideas about aging, is challenged by a sudden loss.","by Terry McMillan","Terry McMillan","Ballantine"
"138","BLINDSIDE","The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.","by James Patterson and James O. Born","James Patterson and James O Born","Little, Brown"
"139","THE LAST ODYSSEY","The 15th book in the Sigma Force series. Catastrophic dangers might be set in motion when a medieval ship is discovered in Greenland.","by James Rollins","James Rollins","Morrow"
"140","THE SINNER","The 18th book in the Black Dagger Brotherhood series. Jo Early is attracted to a potentially dangerous stranger.","by J.R. Ward","JR Ward","Gallery"
"141","THE CITY WE BECAME","People from different walks of life in New York City receive messages through various senses.","by N.K. Jemisin","NK Jemisin","Orbit"
"142","MY DARK VANESSA","A woman re-evaluates the relationship she had at age 15 with her 42-year-old English teacher 17 years ago.","by Kate Elizabeth Russell","Kate Elizabeth Russell","Morrow"
"143","LONG RANGE","The 20th book in the Joe Pickett series. A grizzly bear attack and an attempted assassination of a local judge baffle the Wyoming game warden.","by C.J. Box","C J Box","Putnam"
"144","STAR WARS: THE RISE OF SKYWALKER","The Resistance goes on a new adventure as word of the re-emergence of Emperor Palpatine is sent across the galaxy.","by Rae Carson","Rae Carson","Del Rey"
"145","SMOKE BITTEN","The 12th book in the Mercy Thompson series. The car mechanic who has the ability to turn into a coyote takes on a deadly foe.","by Patricia Briggs","Patricia Briggs","Ace"
"146","JOURNEY OF THE PHARAOHS","The 17th book of the NUMA Files series. The NUMA squad teams with British MI5 to stop arms dealers from stealing ancient relics.","by Clive Cussler and Graham Brown","Clive Cussler and Graham Brown","Putnam"
"147","HOUSE OF EARTH AND BLOOD","Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.","by Sarah J. Maas","Sarah J Maas","Bloomsbury"
"148","A GOOD NEIGHBORHOOD","A property line and a teenage romance strain relations between two North Carolina families.","by Therese Anne Fowler","Therese Anne Fowler","St. Martin's"
"149","THE NUMBERS GAME","An affair wrecks a marriage and a daughter seeks to get out from her family’s shadow while old dreams and new love are pursued.","by Danielle Steel","Danielle Steel","Delacorte"
"150","YOU ARE NOT ALONE","Shay Miller’s bad luck may get even worse when she meets a pair of sisters who always get what they want.","by Greer Hendricks and Sarah Pekkanen","Greer Hendricks and Sarah Pekkanen","St. Martin's"
"151","WRITERS & LOVERS","Casey Peabody goes through a big life transition as she tries to maintain a creative life.","by Lily King","Lily King","Grove"
"152","THE JETSETTERS","Old pains are unpacked as the fractured Perkins family goes on a trip through Europe.","by Amanda Eyre Ward","Amanda Eyre Ward","Ballantine"
"153","THE WARSAW PROTOCOL","The 15th book in the Cotton Malone series. The balance of power in Europe is imperiled.","by Steve Berry","Steve Berry","Minotaur"
"154","COCONUT LAYER CAKE MURDER","The bakery owner Hannah Swensen’s sister’s boyfriend is accused of murder.","by Joanne Fluke","Joanne Fluke","Kensington"
"155","APEIROGON","A bond forms between a Palestinian man and an Israeli man when they both lose a daughter.","by Colum McCann","Colum McCann","Random House"
"156","GOLDEN IN DEATH","The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.","by J.D. Robb","JD Robb","St. Martin's"
"157","A LONG PETAL OF THE SEA","A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.","by Isabel Allende","Isabel Allende","Ballantine"
"158","THE GUARDIANS","Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case.","by John Grisham","John Grisham","Doubleday"
"159","CROOKED RIVER","The 19th book in the Agent Pendergast series. Human feet inside nondescript shoes wash ashore in Florida.","by Douglas Preston and Lincoln Child","Douglas Preston and Lincoln Child","Grand Central"
"160","DEAR EDWARD","A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.","by Ann Napolitano","Ann Napolitano","Dial"
"161","ONE MINUTE OUT","The ninth book in the Gray Man series. Court Gentry tries to stop the head of a group trafficking women and children.","by Mark Greaney","Mark Greaney","Berkley"
"162","THE SUN DOWN MOTEL","A woman visits a motel in upstate New York where her aunt was entangled in mysterious events as a night clerk decades ago.","by Simone St. James","Simone St James","Berkley"
"163","THE OTHER MRS.","A Chicago couple becomes unsettled when they move to an old house in Maine and their new neighbor turns up dead.","by Mary Kubica","Mary Kubica","Park Row"
"164","THE HOLDOUT","When a defense attorney becomes a murder suspect, her time as a pivotal juror comes back to light.","by Graham Moore","Graham Moore","Random House"
"165","WEATHER","Lizzie becomes obsessed with disaster psychology while working at a university library and answering inquiries to a former mentor’s podcast.","by Jenny Offill","Jenny Offill","Knopf"
"166","LOST","The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.","by James Patterson and James O. Born","James Patterson and James O Born","Little, Brown"
